bar_id,approach_time_1,approach_time_2,approach_time_3,approach_time_4,approach_time_5,approach_time_6,approach_time_7,approach_time_8,approach_time_9,approach_time_10,approach_cost_1,approach_cost_2,approach_cost_3,approach_cost_4,approach_cost_5,approach_cost_6,approach_cost_7,approach_cost_8,approach_cost_9,approach_cost_10,grasp_time
15,0.134174824,0.08399725,0.087156534,0.081838131,0.080877781,0.097527266,0.105564594,0.089556694,0.092551947,0.08362031,261.531873261286+WL2:U25,261.5318733,261.5318733,261.5318733,261.5318733,261.5318733,261.5318733,261.5318733,261.5318733,261.5318733,0.00690794
9,0.304852486,0.295647144,0.305681705,0.287703037,0.276796818,0.270202637,0.279058933,0.255818605,0.277003527,0.279394627,314.2563885,314.2563885,314.2563885,314.2563885,314.2563885,314.2563885,314.2563885,314.2563885,314.2563885,314.2563885,0.006958008
14,0.310900927,0.314930201,0.280761719,0.298783779,0.318275452,0.315306902,0.301287174,0.320448399,0.319964886,0.305039644,98.98852077,98.98852077,98.98852077,98.98852077,98.98852077,98.98852077,98.98852077,98.98852077,98.98852077,98.98852077,0.004935265
18,0.258395672,0.2548244,0.226235867,0.231865883,0.224379301,0.23067379,0.213586092,0.219352484,0.235919476,0.227703094,68.20477111,68.20477111,68.20477111,68.20477111,68.20477111,68.20477111,68.20477111,68.20477111,68.20477111,68.20477111,0.005741358
1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
10,0.227199793,0.199382067,0.199761868,0.1989851,0.199810982,0.206277609,0.192325115,0.201408625,0.197806597,0.229425669,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,0.005640507
13,0.403840065,0.322870255,0.361737013,0.336951971,0.401319265,0.389765501,0.323820353,0.313903332,0.325051308,0.307771444,77.87831328,77.87831328,77.87831328,77.87831328,77.87831328,77.87831328,77.87831328,77.87831328,77.87831328,77.87831328,0.007079124
22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
12,0.388533592,0.335654259,0.325827122,0.332395792,0.313842535,0.299206734,0.298671484,0.337060213,0.308403015,0.324820995,72.76843724,72.76843724,72.76843724,72.76843724,72.76843724,72.76843724,72.76843724,72.76843724,72.76843724,72.76843724,0.006359577
0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
19,0.204763174,0.155273676,0.156616688,0.166322231,0.148368359,0.165888071,0.151887178,0.150601149,0.151218891,0.160202503,47.78559723,47.78559723,47.78559723,47.78559723,47.78559723,47.78559723,47.78559723,47.78559723,47.78559723,47.78559723,0.00722599
20,0.357072592,0.303441048,0.280497789,0.298109531,0.282662868,0.282272339,0.294767618,0.270624161,0.300480843,0.294885397,93.85784469,93.85784469,93.85784469,93.85784469,93.85784469,93.85784469,93.85784469,93.85784469,93.85784469,93.85784469,0.009295702
11,0.301066875,0.256292105,0.261088848,0.260220766,0.280547619,0.25785923,0.249742746,0.252954006,0.279506207,0.247934103,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,0.009741783
21,1.862911701,0.962537289,3.321941853,2.452151775,0.597532988,0.465071678,0.678248167,0.332611084,1.06448102,0.820681334,846.2236775,869.5881927,342.4593992,881.1131582,801.4974645,853.5086615,585.5410885,254.6837321,1240.020333,346.1694477,0.006099224
4,0.30206871,0.238677502,0.244665146,0.257197857,0.247886896,0.243054628,0.24705267,0.269855022,0.248684406,0.236578941,80.57009058,80.57009058,80.57009058,80.57009058,80.57009058,80.57009058,80.57009058,80.57009058,80.57009058,80.57009058,0.00872612
5,3.171202421,0.424062252,2.495916605,0.802259445,0.868143559,1.173425436,1.319384575,4.945290089,1.346341848,1.97807312,476.9877481,587.7284848,551.9055054,561.8481167,524.0787277,529.6373321,468.8723252,1779.355366,508.7039696,551.5620019,0.010092974
6,0.368311405,0.315362692,0.327133894,0.31443882,0.374552965,0.319974899,0.324093342,0.341899157,0.339058399,0.360321999,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,0.008363485
7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
8,0.246793985,0.172721624,0.188914061,0.168885231,0.186446905,0.175457001,0.171247721,0.172513485,0.177232742,0.152037621,218.1543567,218.1543567,218.1543567,218.1543567,218.1543567,218.1543567,218.1543567,218.1543567,218.1543567,218.1543567,0.009245872
17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
16,0.381390095,0.297662973,0.305042267,0.293172836,0.277644157,0.340034246,0.328683138,0.30936861,0.291234016,0.299431086,70.24379295,70.24379295,70.24379295,70.24379295,70.24379295,70.24379295,70.24379295,70.24379295,70.24379295,70.24379295,0.009690523
3,0.463806868,0.36809516,0.370481014,0.356954575,0.366805553,0.364738226,0.401799917,0.387718678,0.385781288,0.366567135,259.4574393,259.4574393,259.4574393,259.4574393,259.4574393,259.4574393,259.4574393,259.4574393,259.4574393,259.4574393,0.007390738
2,0.699752808,0.663901806,0.697248459,0.654145241,0.665114403,0.665280819,0.678668976,0.658100605,0.704832315,0.665794373,264.2009921,264.2009921,264.2009921,264.2009921,264.2009921,264.2009921,264.2009921,264.2009921,264.2009921,264.2009921,0.111169815
23,1.221821547,1.507588148,2.826251984,1.608446598,2.642061949,5.668212414,0.745444298,1.549614429,1.582759619,1.605144501,198.438584,893.5945023,667.9106662,175.8246179,577.4957373,491.844881,525.3536309,224.4266432,243.4726307,613.9515394,0.013786793
