bar_id,approach_time_1,approach_time_2,approach_time_3,approach_time_4,approach_time_5,approach_time_6,approach_time_7,approach_time_8,approach_time_9,approach_time_10,approach_cost_1,approach_cost_2,approach_cost_3,approach_cost_4,approach_cost_5,approach_cost_6,approach_cost_7,approach_cost_8,approach_cost_9,approach_cost_10,grasp_time
15,3.515801668,3.531523943,3.529285669,3.557818651,3.565829039,3.548753977,3.598461151,3.611465693,3.471292496,3.515134811,261.5318758,261.5318758,261.5318758,261.5318758,261.5318758,261.5318758,261.5318758,261.5318758,261.5318758,261.5318758,0.003941298
9,7.442465544,7.532361984,7.50554204,7.373669147,7.427307129,7.489984512,7.531210661,7.453737497,7.407795191,7.544783592,314.2563518,314.2563518,314.2563518,314.2563518,314.2563518,314.2563518,314.2563518,314.2563518,314.2563518,314.2563518,0.005907536
14,5.308373928,5.280117989,5.149766207,5.156433344,5.238720894,5.285617828,5.266561747,5.283236742,5.183276176,5.179958105,98.98844823,98.98844823,98.98844823,98.98844823,98.98844823,98.98844823,98.98844823,98.98844823,98.98844823,98.98844823,0.007602215
18,8.08533597,8.116209745,8.088921547,7.974068165,8.06304431,8.128549099,8.060248375,7.99418807,8.08638072,8.15662694,129.858921,129.858921,129.858921,129.858921,129.858921,129.858921,129.858921,129.858921,129.858921,129.858921,0.007894516
1,22.13338852,17.3231082,24.31186962,29.88410902,15.37382722,93.71962905,11.38720131,29.27629066,19.38174677,163.6269622,737.4216279,872.9323699,778.2226739,1216.060148,956.943999,2590.029874,411.5246948,938.9134178,728.7093555,963.0615282,0.008515835
10,2.668138742,2.659694433,2.665298939,2.666730404,2.66785574,2.656615019,2.667596579,2.672271729,2.673269272,2.620435715,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,49.15378902,0.009638548
13,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,20.16137886,18.90316153,21.76611972,11.52668071,7.623933554,19.77637005,8.100529909,9.975355148,16.21355081,20.63429403,791.8609187,577.7070411,612.9393266,593.3601476,225.4624145,345.6699481,231.0828718,760.9661079,740.0083562,1355.105102,0.012667418
12,9.419495344,9.514230728,15.36479664,14.21060276,7.618855715,7.448833227,9.094877005,11.37670636,14.30722237,14.1946578,576.8404143,883.9735588,943.7116873,1216.611143,273.6945105,562.6489875,1036.931128,379.2783259,967.025706,421.9475198,0.013391495
0,12.47108293,10.70978165,12.25783515,9.546583891,21.44990969,20.01943016,25.63552833,6.885304928,10.16142964,12.86658049,1004.474643,655.8944901,739.9504911,810.6879956,1024.334039,286.2995387,1182.96083,806.8466023,273.2826809,280.5030158,inf
19,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
20,3.563733339,3.522976875,3.556868553,3.566402674,3.551733971,3.564881086,3.483648062,3.477047205,3.515966415,3.529558659,93.85784161,93.85784161,93.85784161,93.85784161,93.85784161,93.85784161,93.85784161,93.85784161,93.85784161,93.85784161,0.017949343
11,3.728373528,3.667240858,3.672134876,3.678730249,3.558729649,3.569783688,3.613371611,3.639987946,3.666338444,3.669359922,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,198.8298768,0.029269218
21,12.38758349,36.07156277,27.60212684,7.361837626,14.71159554,30.55411553,15.13745642,12.38015985,26.68949437,13.63803911,465.1155204,1093.993289,595.5121359,278.258095,717.6479886,603.2101095,1384.812374,434.5969962,671.5359448,456.4998589,inf
4,26.74412322,29.97607994,13.90755057,23.36856961,21.45121646,14.84476805,33.3622663,42.7802515,36.40006995,35.47234368,942.6202613,1141.808358,409.5750756,652.0834914,1012.854469,423.812062,568.9459516,1125.026022,460.6433837,771.7000889,0.021671057
5,6.033041954,5.971922159,6.041043758,6.095667362,6.091054678,6.107680798,5.950717449,6.132030487,6.122535229,6.099714756,70.62521129,70.62521129,70.62521129,70.62521129,70.62521129,70.62521129,70.62521129,70.62521129,70.62521129,70.62521129,inf
6,6.205004692,6.225031853,6.259494305,6.269913673,6.270526886,6.168669701,6.15928793,6.240305424,6.25429678,6.275199175,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,266.7914825,0.024222374
7,20.9391191,54.23785615,20.92095137,27.61966443,16.55425858,29.9313674,38.02157784,24.24917102,25.85888124,59.95158148,540.0117187,387.4259781,214.0623874,298.959483,257.0663581,613.7757979,260.4218428,607.4377406,379.3553585,947.2768152,inf
8,8.313645363,8.233840942,8.118103266,8.115194559,8.154672384,8.159616232,7.962051868,8.127327919,8.109027624,8.122351646,113.651887,113.651887,113.651887,113.651887,113.651887,113.651887,113.651887,113.651887,113.651887,113.651887,0.026976824
17,19.75740743,40.87717342,28.53514719,25.57556987,23.01278758,20.0670104,18.8268404,21.36843634,21.92812395,35.25728536,517.565679,345.9064233,229.0940821,274.8182742,1046.771792,706.4955792,721.5084894,168.6134105,277.2046577,911.9023656,inf
16,3.418100357,3.488857031,3.450906515,3.401075602,3.403328657,3.344186306,3.316734791,3.329741955,3.367069721,3.361590624,70.24378671,70.24378671,70.24378671,70.24378671,70.24378671,70.24378671,70.24378671,70.24378671,70.24378671,70.24378671,0.028991222
3,11.14612556,18.05765152,25.92747593,21.94856119,26.30668831,17.68758154,17.4349587,28.89353108,32.83271241,35.49256873,439.2283891,189.379538,200.6257198,472.9307872,726.8913022,858.8092898,374.7411882,1514.286908,106.3586989,654.5027083,0.03981781
2,8.179921389,8.225516796,8.236026287,8.036417961,8.126437902,8.197587013,8.198214531,8.010052681,8.132937908,8.193144798,150.5825292,150.5825292,150.5825292,150.5825292,150.5825292,150.5825292,150.5825292,150.5825292,150.5825292,150.5825292,0.050259829
23,17.11919188,12.12935185,33.8479259,19.03475785,23.16884971,14.93832111,23.48233891,18.69842696,10.69116187,17.63032389,222.6769545,647.4847666,1017.240394,348.3818433,1149.849549,734.9617392,274.9099261,271.4529023,576.3529374,283.4103154,0.031488419
